loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,color1,color2,color3,color4,color5,color6,color7,color8,color9,trial_type,set_size,correct,testcolor
"[.3, .3]","[-.15, .3]","[.3, -.15]","[-.15, 0]","[-.3, 0]","[-.3, .15]","[.15, -.3]","[-.15, -.15]",orange,white,yellow,blue,violet,green,grey,grey,black,change,6,j,black
"[-.3, .3]","[-.15, .3]","[.15, -.3]","[-.3, 0]","[-.15, -.3]","[.15, 0]","[-.3, -.3]","[-.15, 0]",white,violet,red,green,blue,cyan,orange,black,yellow,no-change,8,f,white
"[.15, -.3]","[.3, -.3]","[-.15, -.15]","[.15, 0]","[.3, 0]","[-.3, -.3]","[-.15, 0]","[.3, .3]",green,cyan,red,violet,blue,white,grey,grey,yellow,no-change,6,f,green
"[.3, -.3]","[.3, -.15]","[-.3, 0]","[.3, 0]","[.3, .15]","[-.15, -.3]","[.15, .15]","[-.15, .15]",yellow,white,blue,cyan,violet,orange,grey,grey,red,change,6,j,red
"[-.15, .15]","[-.3, .3]","[.15, .3]","[-.3, -.15]","[-.15, -.3]","[.3, 0]","[-.15, -.15]","[.15, -.3]",black,violet,red,orange,yellow,blue,grey,grey,green,no-change,6,f,black
"[.15, -.3]","[.15, -.15]","[.15, .15]","[-.3, -.3]","[.3, .3]","[-.3, 0]","[.3, .15]","[-.15, -.3]",yellow,white,blue,green,orange,cyan,grey,grey,black,change,6,j,black
"[-.15, .3]","[-.15, -.15]","[.15, 0]","[-.3, -.15]","[.15, -.15]","[.3, -.15]","[.3, .15]","[-.15, 0]",blue,green,red,black,grey,grey,grey,grey,white,change,4,j,white
"[.3, -.15]","[-.15, -.15]","[.15, -.15]","[.3, -.3]","[.15, .3]","[-.15, .3]","[.15, .15]","[.3, 0]",green,red,cyan,orange,white,black,violet,yellow,blue,change,8,j,blue
"[.3, -.15]","[-.15, -.15]","[-.15, .15]","[-.3, .15]","[.3, .15]","[-.15, 0]","[.15, .3]","[.3, 0]",violet,white,cyan,black,blue,green,grey,grey,orange,no-change,6,f,violet
"[-.15, 0]","[.15, .15]","[-.15, -.3]","[-.3, .15]","[-.15, .15]","[.15, -.15]","[-.15, .3]","[.15, -.3]",black,red,violet,green,orange,cyan,yellow,blue,white,no-change,8,f,black
"[.3, .3]","[-.3, .3]","[.15, .15]","[.15, -.3]","[.3, .15]","[.15, .3]","[.15, -.15]","[-.15, -.15]",black,green,white,red,orange,yellow,grey,grey,violet,change,6,j,violet
"[-.15, -.3]","[-.15, .15]","[.15, -.15]","[.3, 0]","[-.15, .3]","[-.3, .3]","[-.3, -.3]","[.15, -.3]",white,yellow,black,green,blue,violet,red,cyan,orange,no-change,8,f,white
"[.3, .15]","[-.15, .15]","[.3, -.15]","[-.3, -.3]","[-.15, -.15]","[.3, -.3]","[-.3, -.15]","[-.3, .15]",green,white,blue,red,black,violet,grey,grey,cyan,no-change,6,f,green
"[.15, -.3]","[-.15, -.3]","[.15, -.15]","[.3, -.3]","[.15, 0]","[.3, .3]","[-.15, .3]","[-.3, -.15]",violet,red,black,green,yellow,white,cyan,orange,blue,change,8,j,blue
"[-.15, .15]","[.3, -.3]","[.15, .15]","[.15, -.3]","[-.3, -.3]","[-.3, .3]","[-.15, 0]","[-.15, -.3]",green,yellow,cyan,orange,white,red,grey,grey,black,change,6,j,black
"[.15, .15]","[-.3, .3]","[.15, .3]","[.3, .15]","[-.15, .3]","[.3, -.3]","[.15, 0]","[.3, 0]",white,blue,orange,violet,red,cyan,grey,grey,black,change,6,j,black
"[-.3, -.15]","[.3, .15]","[-.3, -.3]","[-.15, -.15]","[-.15, .3]","[.15, .15]","[-.3, 0]","[.3, -.15]",violet,orange,green,cyan,white,black,blue,red,yellow,no-change,8,f,violet
"[-.15, 0]","[-.3, 0]","[-.3, -.15]","[-.3, -.3]","[.15, 0]","[-.15, .15]","[.3, .15]","[.3, 0]",violet,blue,grey,grey,grey,grey,grey,grey,black,change,2,j,black
"[.15, .15]","[-.3, -.15]","[.3, -.3]","[-.15, .15]","[.15, -.15]","[.3, .15]","[-.15, -.15]","[-.3, .15]",yellow,green,black,orange,violet,cyan,blue,white,red,change,8,j,red
"[.3, -.15]","[-.15, -.15]","[-.3, -.15]","[-.3, -.3]","[.15, .3]","[.15, 0]","[-.3, 0]","[-.3, .15]",violet,orange,blue,red,black,white,grey,grey,yellow,change,6,j,yellow
"[.3, .3]","[-.15, .3]","[-.3, .3]","[.3, -.3]","[-.3, .15]","[-.3, -.3]","[-.3, -.15]","[.15, -.15]",white,violet,grey,grey,grey,grey,grey,grey,blue,no-change,2,f,white
"[.15, -.3]","[-.15, -.15]","[.15, .15]","[.15, -.15]","[-.3, .15]","[.3, .15]","[.3, 0]","[-.15, .3]",black,white,grey,grey,grey,grey,grey,grey,blue,no-change,2,f,black
"[.3, -.3]","[.15, .15]","[-.3, 0]","[-.15, 0]","[-.15, -.3]","[.3, -.15]","[-.15, -.15]","[-.3, -.15]",orange,red,grey,grey,grey,grey,grey,grey,violet,no-change,2,f,orange
"[.3, 0]","[-.15, -.15]","[.3, .3]","[-.15, -.3]","[-.15, .3]","[-.15, 0]","[-.15, .15]","[-.3, -.15]",blue,green,black,yellow,orange,red,white,cyan,violet,change,8,j,violet
"[.3, .15]","[.15, .15]","[-.3, -.15]","[-.3, .15]","[-.15, -.15]","[.15, -.15]","[-.3, 0]","[-.15, -.3]",cyan,yellow,blue,green,red,white,grey,grey,black,change,6,j,black
"[-.3, -.3]","[-.15, -.15]","[-.3, 0]","[.3, 0]","[-.3, -.15]","[-.15, -.3]","[.15, .15]","[.15, -.15]",black,red,orange,white,grey,grey,grey,grey,violet,no-change,4,f,black
"[.3, -.15]","[.15, 0]","[-.3, -.15]","[-.15, 0]","[-.15, -.15]","[.15, .15]","[.3, -.3]","[.15, .3]",orange,blue,grey,grey,grey,grey,grey,grey,black,change,2,j,black
"[.3, 0]","[-.3, -.15]","[.15, -.3]","[-.3, .3]","[-.15, -.3]","[-.3, 0]","[.15, .3]","[.3, -.3]",black,white,red,green,grey,grey,grey,grey,yellow,no-change,4,f,black
"[-.3, .3]","[.3, -.15]","[.15, -.3]","[-.15, -.15]","[-.15, .15]","[-.3, -.3]","[-.15, -.3]","[.15, -.15]",yellow,blue,white,green,orange,violet,cyan,black,red,no-change,8,f,yellow
"[-.3, .15]","[.15, -.3]","[.3, .3]","[.3, -.15]","[-.3, .3]","[-.3, 0]","[-.15, 0]","[.15, -.15]",orange,blue,yellow,violet,white,green,cyan,red,black,change,8,j,black
"[-.3, -.15]","[-.15, -.3]","[.3, -.3]","[-.15, .3]","[.15, 0]","[-.15, 0]","[.15, .15]","[-.3, .3]",yellow,cyan,black,blue,green,white,grey,grey,red,change,6,j,red
"[.15, -.3]","[-.3, -.3]","[.15, .15]","[.15, .3]","[.3, .3]","[-.3, .3]","[-.3, .15]","[-.15, .3]",white,orange,red,violet,yellow,cyan,grey,grey,green,change,6,j,green
"[-.3, -.3]","[.15, -.15]","[-.15, -.3]","[-.3, .15]","[-.3, .3]","[.3, .3]","[.15, -.3]","[-.15, 0]",orange,blue,cyan,black,grey,grey,grey,grey,green,no-change,4,f,orange
"[-.3, -.15]","[.15, 0]","[.3, 0]","[-.15, .15]","[.15, .3]","[-.15, .3]","[.3, .15]","[-.3, -.3]",black,cyan,grey,grey,grey,grey,grey,grey,blue,no-change,2,f,black
"[.15, .3]","[-.3, .15]","[.15, -.3]","[-.15, 0]","[.15, 0]","[-.15, -.3]","[.3, .15]","[.3, .3]",blue,yellow,orange,white,green,violet,grey,grey,cyan,change,6,j,cyan
"[.3, -.3]","[.15, -.3]","[-.3, -.3]","[-.3, .3]","[-.3, -.15]","[-.15, -.3]","[.3, -.15]","[.3, .15]",yellow,cyan,orange,green,grey,grey,grey,grey,black,no-change,4,f,yellow
"[-.3, -.15]","[.3, 0]","[-.15, -.3]","[-.3, -.3]","[-.15, .3]","[.3, -.15]","[-.15, -.15]","[.15, 0]",blue,red,grey,grey,grey,grey,grey,grey,cyan,no-change,2,f,blue
"[.3, 0]","[-.3, -.3]","[.15, -.15]","[.15, .3]","[.3, -.3]","[.3, -.15]","[.3, .3]","[-.15, .15]",red,green,cyan,blue,black,orange,white,yellow,violet,change,8,j,violet
"[.3, -.3]","[.15, .15]","[-.3, .15]","[.15, 0]","[-.3, -.3]","[-.3, .3]","[.3, -.15]","[.3, .15]",green,orange,white,yellow,violet,red,grey,grey,blue,no-change,6,f,green
"[-.3, 0]","[-.15, .3]","[-.3, .3]","[.15, 0]","[-.15, -.3]","[.3, 0]","[.15, -.15]","[-.3, .15]",red,black,blue,white,orange,cyan,violet,yellow,green,no-change,8,f,red
"[.15, .3]","[-.15, .3]","[-.3, .15]","[-.15, 0]","[.15, -.3]","[-.15, .15]","[-.3, .3]","[.3, .15]",violet,orange,grey,grey,grey,grey,grey,grey,blue,change,2,j,blue
"[.3, 0]","[-.15, 0]","[-.3, .15]","[-.15, -.15]","[.15, 0]","[.3, -.15]","[-.15, .3]","[.15, -.3]",black,orange,cyan,white,red,violet,green,yellow,blue,no-change,8,f,black
"[.15, 0]","[-.15, -.15]","[.15, .15]","[.3, 0]","[.3, .15]","[-.15, 0]","[-.15, .3]","[-.15, -.3]",white,cyan,red,blue,grey,grey,grey,grey,green,change,4,j,green
"[.3, .3]","[-.3, .3]","[-.15, 0]","[.15, -.3]","[-.3, -.3]","[.3, -.15]","[-.15, -.3]","[.15, .3]",green,red,grey,grey,grey,grey,grey,grey,black,no-change,2,f,green
"[-.3, -.15]","[-.15, 0]","[-.3, -.3]","[-.3, 0]","[-.3, .15]","[-.15, .15]","[.3, -.3]","[-.15, -.15]",green,blue,grey,grey,grey,grey,grey,grey,orange,change,2,j,orange
"[.15, .3]","[-.15, 0]","[.15, -.15]","[.3, 0]","[-.3, .15]","[.3, .15]","[-.15, .15]","[.15, -.3]",violet,yellow,grey,grey,grey,grey,grey,grey,white,no-change,2,f,violet
"[.15, .15]","[-.3, -.15]","[-.15, -.15]","[-.3, 0]","[-.15, .3]","[.15, 0]","[.15, -.15]","[-.3, -.3]",black,orange,violet,white,cyan,red,blue,green,yellow,no-change,8,f,black
"[-.3, -.3]","[-.3, .3]","[.3, -.15]","[-.15, 0]","[.3, 0]","[.3, .3]","[.15, .3]","[-.3, 0]",green,red,yellow,orange,black,blue,grey,grey,cyan,change,6,j,cyan
"[.3, -.15]","[.3, .3]","[.3, .15]","[-.15, -.3]","[-.3, -.15]","[.15, .3]","[-.15, -.15]","[-.3, .3]",red,violet,grey,grey,grey,grey,grey,grey,yellow,no-change,2,f,red
"[.15, -.3]","[-.15, 0]","[-.3, 0]","[-.3, .3]","[-.3, -.3]","[-.15, -.15]","[-.3, -.15]","[-.3, .15]",blue,red,yellow,orange,green,cyan,grey,grey,violet,no-change,6,f,blue
"[.3, .3]","[.15, -.3]","[.3, -.15]","[-.15, .3]","[-.15, -.15]","[-.3, .3]","[-.3, -.15]","[.15, .3]",cyan,blue,grey,grey,grey,grey,grey,grey,orange,change,2,j,orange
"[.3, -.3]","[-.3, 0]","[-.3, -.3]","[.15, .3]","[-.15, .15]","[-.3, -.15]","[.15, .15]","[.15, -.15]",white,blue,grey,grey,grey,grey,grey,grey,red,no-change,2,f,white
"[.3, -.3]","[-.15, -.15]","[.3, .15]","[-.15, .15]","[-.15, 0]","[.3, .3]","[-.3, -.15]","[.15, -.3]",red,orange,grey,grey,grey,grey,grey,grey,violet,no-change,2,f,red
"[-.3, 0]","[-.15, -.15]","[-.3, -.3]","[-.15, -.3]","[.15, .15]","[-.15, .15]","[-.15, 0]","[-.15, .3]",yellow,cyan,black,white,green,violet,blue,red,orange,change,8,j,orange
"[.15, -.15]","[-.15, .3]","[.15, .3]","[-.15, -.15]","[-.3, .3]","[.3, .15]","[-.15, 0]","[.15, 0]",white,red,orange,black,grey,grey,grey,grey,green,no-change,4,f,white
"[-.15, 0]","[.15, -.3]","[.15, .3]","[.3, 0]","[-.3, .15]","[.3, -.3]","[-.15, -.15]","[-.15, .15]",cyan,black,white,red,violet,yellow,orange,blue,green,change,8,j,green
"[-.3, .15]","[-.15, .15]","[-.3, -.3]","[-.3, -.15]","[.15, -.15]","[-.3, 0]","[.15, -.3]","[-.15, .3]",black,blue,cyan,orange,grey,grey,grey,grey,red,no-change,4,f,black
"[.15, .15]","[-.15, -.15]","[-.15, 0]","[-.3, .15]","[-.3, -.15]","[.15, -.15]","[.3, .3]","[-.15, .15]",orange,green,grey,grey,grey,grey,grey,grey,black,change,2,j,black
"[.15, -.15]","[.15, .15]","[.3, .3]","[-.15, .3]","[.3, -.3]","[-.3, -.3]","[-.15, 0]","[-.3, -.15]",green,red,grey,grey,grey,grey,grey,grey,violet,change,2,j,violet
"[.15, 0]","[.3, -.3]","[.15, -.3]","[.3, .15]","[-.3, .15]","[-.3, .3]","[-.15, -.15]","[-.15, -.3]",violet,blue,orange,red,black,cyan,grey,grey,yellow,change,6,j,yellow
"[-.3, 0]","[-.3, .3]","[-.3, -.15]","[.15, -.3]","[.15, -.15]","[.3, .15]","[.3, -.15]","[.15, 0]",orange,blue,grey,grey,grey,grey,grey,grey,white,no-change,2,f,orange
"[-.3, .3]","[.15, -.3]","[-.15, -.3]","[-.3, -.3]","[.3, .15]","[.15, .15]","[.15, -.15]","[.3, .3]",violet,blue,orange,red,green,white,grey,grey,cyan,change,6,j,cyan
"[-.3, -.3]","[.15, .15]","[-.15, .3]","[.3, -.3]","[-.15, -.15]","[.3, 0]","[-.3, -.15]","[-.15, .15]",orange,white,grey,grey,grey,grey,grey,grey,black,change,2,j,black
"[.15, .3]","[-.3, -.15]","[.3, 0]","[-.15, -.3]","[-.3, -.3]","[-.15, -.15]","[.15, 0]","[-.15, .15]",blue,white,black,green,cyan,orange,grey,grey,red,no-change,6,f,blue
"[.15, -.15]","[.15, .15]","[-.3, -.3]","[-.15, -.3]","[.3, 0]","[.15, .3]","[-.3, 0]","[-.15, .3]",green,yellow,violet,white,grey,grey,grey,grey,orange,no-change,4,f,green
"[.3, .3]","[.15, .15]","[.15, -.3]","[.3, 0]","[-.15, .15]","[-.3, .3]","[-.15, -.15]","[-.3, -.3]",black,red,orange,white,grey,grey,grey,grey,blue,no-change,4,f,black
"[-.3, .3]","[-.15, .3]","[-.3, -.15]","[.3, 0]","[-.15, -.15]","[.3, -.15]","[-.15, .15]","[-.15, 0]",black,cyan,yellow,orange,blue,red,grey,grey,violet,no-change,6,f,black
"[.3, -.3]","[.15, .3]","[-.3, -.3]","[-.15, -.3]","[.3, .15]","[-.15, -.15]","[-.3, -.15]","[.3, 0]",black,cyan,red,blue,grey,grey,grey,grey,yellow,change,4,j,yellow
"[-.15, .3]","[-.15, -.15]","[-.3, .15]","[.3, 0]","[.15, -.3]","[.3, -.3]","[-.15, .15]","[-.3, -.3]",yellow,orange,black,cyan,grey,grey,grey,grey,green,change,4,j,green
"[-.3, -.15]","[-.15, .15]","[.15, -.3]","[-.3, -.3]","[.15, 0]","[.3, .3]","[.15, -.15]","[.3, -.3]",orange,yellow,cyan,blue,red,violet,white,green,black,no-change,8,f,orange
"[-.3, -.15]","[-.3, .3]","[-.15, 0]","[-.15, -.3]","[-.15, .15]","[-.3, -.3]","[-.3, .15]","[.3, .3]",cyan,yellow,red,black,green,orange,violet,white,blue,no-change,8,f,cyan
"[.3, 0]","[-.3, -.3]","[.15, 0]","[.15, -.15]","[.3, .3]","[.3, -.3]","[-.15, -.3]","[-.3, .3]",white,blue,grey,grey,grey,grey,grey,grey,violet,no-change,2,f,white
"[.15, -.15]","[.3, .3]","[.15, .3]","[.15, -.3]","[-.15, -.3]","[-.3, -.3]","[-.15, 0]","[.3, -.15]",blue,cyan,grey,grey,grey,grey,grey,grey,green,no-change,2,f,blue
"[.3, -.3]","[-.15, 0]","[-.3, .3]","[.3, .15]","[-.15, .15]","[.15, -.3]","[.3, -.15]","[.15, -.15]",cyan,green,yellow,blue,grey,grey,grey,grey,violet,change,4,j,violet
"[-.15, -.3]","[.15, -.15]","[-.3, -.15]","[.15, .3]","[-.15, -.15]","[.3, .3]","[.3, -.3]","[-.3, .15]",green,white,orange,yellow,red,violet,cyan,black,blue,change,8,j,blue
"[-.15, 0]","[-.15, -.15]","[.15, .3]","[-.3, .15]","[.15, 0]","[-.3, -.3]","[.3, .15]","[.3, -.15]",red,blue,grey,grey,grey,grey,grey,grey,violet,no-change,2,f,red
"[.3, .15]","[-.3, .15]","[.15, -.3]","[-.3, .3]","[-.15, -.3]","[.3, -.3]","[-.15, -.15]","[.15, .3]",blue,violet,cyan,yellow,white,red,orange,green,black,change,8,j,black
"[.3, -.15]","[.15, 0]","[-.3, .3]","[.15, -.3]","[.3, -.3]","[.3, 0]","[-.15, -.15]","[-.3, -.3]",white,cyan,violet,yellow,red,blue,grey,grey,green,no-change,6,f,white
"[.15, .15]","[.3, -.3]","[.15, -.3]","[.3, .15]","[.3, 0]","[-.15, -.3]","[-.3, -.3]","[.3, -.15]",cyan,blue,grey,grey,grey,grey,grey,grey,green,change,2,j,green
"[.15, -.15]","[-.3, .3]","[.3, -.3]","[.15, -.3]","[.3, .3]","[.15, .3]","[-.15, -.3]","[-.3, -.3]",black,red,white,cyan,blue,green,violet,yellow,orange,no-change,8,f,black
"[.15, .3]","[.15, -.3]","[-.15, .15]","[.15, .15]","[.3, -.15]","[-.15, -.15]","[.15, 0]","[.3, -.3]",blue,orange,yellow,violet,black,red,cyan,white,green,no-change,8,f,blue
"[.15, 0]","[.3, -.3]","[-.3, -.15]","[.15, .3]","[.3, .15]","[.15, -.15]","[.3, .3]","[-.15, .3]",green,red,blue,violet,black,orange,grey,grey,yellow,no-change,6,f,green
"[-.15, .3]","[-.15, .15]","[.15, -.15]","[-.15, 0]","[.15, .15]","[-.3, -.15]","[-.3, 0]","[-.3, -.3]",yellow,cyan,white,orange,grey,grey,grey,grey,violet,change,4,j,violet
"[.15, 0]","[-.3, -.3]","[-.15, -.3]","[.3, .3]","[.3, -.3]","[-.15, .3]","[.15, .15]","[-.15, -.15]",black,green,cyan,blue,grey,grey,grey,grey,orange,no-change,4,f,black
"[-.3, .3]","[.15, .3]","[.15, -.15]","[.15, 0]","[-.3, -.3]","[.15, -.3]","[-.3, .15]","[-.15, -.15]",black,red,grey,grey,grey,grey,grey,grey,green,change,2,j,green
"[-.15, -.15]","[-.3, 0]","[.3, -.15]","[.3, .15]","[-.3, -.15]","[-.15, -.3]","[.3, 0]","[.3, .3]",yellow,violet,blue,cyan,orange,red,white,green,black,change,8,j,black
"[.15, .15]","[-.3, 0]","[-.3, .3]","[-.15, -.15]","[.15, -.15]","[-.15, .3]","[.15, 0]","[-.15, .15]",orange,red,green,blue,grey,grey,grey,grey,violet,no-change,4,f,orange
"[-.15, .15]","[.15, .3]","[-.3, .3]","[-.15, -.3]","[.3, .3]","[.15, .15]","[-.15, .3]","[-.15, 0]",blue,cyan,yellow,orange,red,black,violet,white,green,change,8,j,green
"[-.15, .15]","[.3, .15]","[-.3, .15]","[-.3, -.15]","[.3, 0]","[.15, -.3]","[.15, .3]","[.15, 0]",black,red,white,orange,grey,grey,grey,grey,green,change,4,j,green
"[.15, 0]","[.3, 0]","[.3, -.3]","[-.15, .3]","[-.3, -.15]","[-.15, 0]","[-.3, 0]","[.15, .15]",orange,red,grey,grey,grey,grey,grey,grey,green,no-change,2,f,orange
"[-.3, .15]","[-.3, -.3]","[-.15, -.3]","[.3, 0]","[-.15, .3]","[.3, -.3]","[.3, -.15]","[-.3, 0]",violet,green,grey,grey,grey,grey,grey,grey,cyan,change,2,j,cyan
"[.3, -.15]","[-.3, 0]","[.15, -.15]","[-.15, 0]","[-.15, .15]","[-.3, -.3]","[.3, 0]","[-.15, -.15]",violet,orange,black,white,cyan,green,blue,red,yellow,no-change,8,f,violet
"[.3, -.15]","[.15, -.3]","[.3, .3]","[-.15, 0]","[-.3, -.15]","[-.15, .3]","[.3, .15]","[.3, 0]",red,black,cyan,white,grey,grey,grey,grey,blue,change,4,j,blue
